id,name,area,type,budget_category,fee_display,fee_min,fee_max,fee_status,website,map_query
alam-atelier,Alam Atelier,Canggu,Preschool,Mid-range,"Rp 45,000,000–Rp 110,000,000 /year",45000000,110000000,estimate,https://almatelier.com/bali,"Alam Atelier Bali, Canggu"
alam-kidz-school,Alam Kidz School,Ubud,School,Mid-range,"Rp 85,000,000–Rp 135,000,000 /year",85000000,135000000,estimate,https://alamkidz.com/,"AlamKidz School, Ubud, Bali"
amed-honeycomb-school,Amed Honeycomb School,Amed,School,Mid-range,"Rp 50,000,000–Rp 100,000,000 /year",50000000,100000000,estimate,https://ahsbali.sch.id/,"Amed Honeycomb School, Amed, Bali"
anak-bentala,Anak Bentala,Canggu,Early years,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.instagram.com/anakbentala/,"Anak Bentala, Canggu, Bali"
bali-earth-school,Bali Earth School,Ubud,School,Premium,"Rp 80,000,000–Rp 150,000,000 /year",80000000,150000000,estimate,https://baliearthschool.id/,"Bali Earth School, Bali"
bali-life-daycare-and-kindy,Bali Life Daycare and Kindy,Bukit Region,Preschool,Mid-range,"Rp 35,000,000–Rp 85,000,000 /year",35000000,85000000,estimate,https://balilifekindy.com/,"Bali Life Daycare and Kindy, Bali"
bamboo-garden-learning,Bamboo Garden Learning,Canggu,Early years,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.facebook.com/bamboogardenlearningcentre/,"Bamboo Garden Learning Centre, Canggu, Bali"
bhumi-bali-school,Bhumi Bali School,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://bhumibalischool.com/,"Bhumi Bali School, Kerobokan, Bali"
biosphere-school,Biosphere School,Bukit Region,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://biosphereschool.com/,"Biosphere School Bali, Jl. Bypass Ngurah Rai No.108 A, Benoa"
bloom-boutique-atelier,Bloom Boutique Atelier,Canggu,Preschool,Mid-range,"Rp 45,000,000–Rp 110,000,000 /year",45000000,110000000,estimate,https://bloomlearningcenter.id/,"Bloom Learning Center, Cemagi, Bali"
boundless-life-bali-education-centre,Boundless Life Bali Education Centre,Sanur,School,Luxury,"Rp 223,200,000 /year",223200000,223200000,estimate,https://bali.boundless.life/,Boundless Life Bali campus Sanur
bukit-sunrise-school,Bukit Sunrise School,Bukit Region,School,Premium,"Rp 80,000,000–Rp 160,000,000 /year",80000000,160000000,estimate,https://www.bukitsunriseschool.com/,"Bukit Sunrise School, Ungasan"
caterpillar-school-bali,Caterpillar School Bali,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://caterpillarschoolbali.com/,Caterpillar School Bali
cheeky-monkeys-sanur,Cheeky Monkeys Sanur,Sanur,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://cheekymonkeysbali.com/,"Cheeky Monkeys Sanur, Bali"
empathy-school,Empathy School,Ubud,School,Premium,"Rp 100,000,000–Rp 160,000,000 /year",100000000,160000000,estimate,https://www.empathy.school/,Empathy School Ubud
erdkinder-sekolah-montessori-bali,Erdkinder Sekolah Montessori Bali,Ubud,Montessori school,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.montessori-erdkinder-bali.com/,"Sekolah Montessori ERDKINDER Bali, Pejeng, Gianyar"
gandhi-memorial,Gandhi Memorial,Denpasar,International school,Premium,"Rp 120,000,000–Rp 200,000,000 /year",120000000,200000000,estimate,https://gandhibali.org/,"Gandhi Memorial Intercontinental School Bali, Renon"
harmony-school,Harmony School,Ubud,School,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.harmonyschoolbali.org/,Harmony School Bali Mas Ubud
jimbaran-junior-academy,Jimbaran Junior Academy,Bukit Region,School,Premium,"Rp 80,000,000–Rp 170,000,000 /year",80000000,170000000,estimate,https://jimbaranacademy.com/,Jimbaran Junior Academy Jl. Celagi Basur
jungle-hub-ubud,Jungle Hub Ubud,Ubud,Learning centre,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://balifamilyhangout.com/jungle-hub/,The Jungle Hub Bali Family Hangout Jl. Katik Lantang Ubud
kupu-kupu-early-learning-bali,Kupu Kupu Early Learning Bali,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://linktr.ee/kupukupubali,Kupu Kupu Early Learning Beraban Tabanan Bali
little-dreamers,Little Dreamers,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.instagram.com/littledreamersbali/,Little Dreamers preschool Canggu Bali
little-stars-school,Little Stars School,Sanur,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://www.littlestarsbali.org/,Little Stars School Sanur Bali
little-tree-preschool-bali,Little Tree Preschool Bali,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://littletreepreschoolbali.com/,Little Tree Preschool Bali Canggu
lychee-homeschooling,Lychee Homeschooling,Canggu,Homeschool program,Mid-range,"Rp 60,000,000–Rp 120,000,000 /year",60000000,120000000,estimate,https://lycheelearning.com/,Lychee Learning Cepaka Bali
madu-waldorf-learning-center,Madu Waldorf Learning Center,Ubud,Waldorf school,Mid-range,"Rp 110,000,000–Rp 140,000,000 /year",110000000,140000000,estimate,https://waldorfbali.com/,Madu Waldorf Bali Ubud
malajah-playschool,Malajah Playschool,Canggu,Preschool,Mid-range,"Rp 35,000,000–Rp 90,000,000 /year",35000000,90000000,estimate,https://malajahplayschool.com/,Malajah Playschool Canggu Bali
malinki-kindergarten-and-daycare-center,Malinki Kindergarten and Daycare Center,Canggu,Early years,Mid-range,"Rp 35,000,000–Rp 85,000,000 /year",35000000,85000000,estimate,https://ma-linki.com/,Malinki Kindergarten Daycare Jl. Merta Ayu Kerobokan
mama-kid-club,Mama Kid Club,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://mamakidclub.id/,MamaKidClub Jl. Raya Tumbakbayuh No.9 Pererenan
marigold-community-learning,Marigold Community Learning,Canggu,Learning centre,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://marigoldbali.com/,Marigold Community Learning Canggu Bali
matahari-canggu-childcare-and-preschool,Matahari Canggu Childcare and Preschool,Canggu,Preschool,Mid-range,"Rp 35,000,000–Rp 85,000,000 /year",35000000,85000000,estimate,https://www.instagram.com/matahari_canggu/,Matahari Canggu Gg. Mangga 1 Tibubeneng
montessori-farm-bali,Montessori Farm Bali,Canggu,Montessori school,Mid-range,"Rp 50,000,000–Rp 120,000,000 /year",50000000,120000000,estimate,https://sites.google.com/view/wwwmontessorifarmbalicom,"Montessori Farm Bali, Tegal Mengkeb, Tabanan Regency"
morphoo-school,Morphoo School,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://www.morphooschool.com/,"Morphoo School, Jl. Persada No. 58, Kerobokan"
oakwood-steam-academy,Oakwood STEAM Academy,Canggu,School,Premium,"Rp 80,000,000–Rp 170,000,000 /year",80000000,170000000,estimate,https://oakwoodsteamacademy.com/,"Oakwood STEAM Academy, Jalan Muding Indah 2X, Kerobokan, Bali"
rumah-kecil,Rumah Kecil,Sanur,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://rumahkecil.net/,Rumah Kecil Jl. Tirta Akasa No.60 Sanur
sense-garden-kids-center,SENSE Garden Kids Center,Sanur,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://sensegardenbali.com/,SENSE Garden Kids Center Sanur Bali
sanur-independent-school,Sanur Independent School,Sanur,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://sisbali.sch.id/,Sanur Independent School Bali
saraswati-education-camp,Saraswati Education Camp,Canggu,Learning centre,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://saraswati-education.com/,Saraswati Education Camp Bali
sekolah-lentera-kasih-slk-and-lollypop-preschool,Sekolah Lentera Kasih (SLK) & Lollypop Preschool,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://slkbali-lollypop.com/,SLK Lollypop Preschool Bali
skoebi-do-child-care-canggu,Skoebi-do Child Care Canggu,Canggu,Childcare,Mid-range,"Rp 35,000,000–Rp 85,000,000 /year",35000000,85000000,estimate,https://skoebi-do.com/,Skoebi-do Child Care Canggu Bali
skoebi-do-child-care-sanur,Skoebi-do Child Care Sanur,Sanur,Childcare,Mid-range,"Rp 35,000,000–Rp 85,000,000 /year",35000000,85000000,estimate,https://skoebi-do.com/,Skoebi-do Child Care Sanur Bali
skywalker-academy,Skywalker Academy,Canggu,School,Premium,"Rp 80,000,000–Rp 170,000,000 /year",80000000,170000000,estimate,https://skyhawkacademy.info/,Skyhawk Academy Bali Canggu
spark-bali,Spark Bali,Ubud,School,Premium,"Rp 120,000,000–Rp 160,000,000 /year",120000000,160000000,estimate,https://sparkbali.org/,Spark Bali School Ubud
sun-school-bali,Sun School Bali,Canggu,School,Premium,"Rp 60,000,000–Rp 150,000,000 /year",60000000,150000000,estimate,https://sunschoolbali.com/,Sun School Bali Canggu
taruwara-primary-school,Taruwara Primary School,Sanur,School,Mid-range,"Rp 50,000,000–Rp 120,000,000 /year",50000000,120000000,estimate,https://taruwara.net/,Taruwara Primary School Bali
the-anak-atelier-early-learning-centre,The Anak Atelier Early Learning Centre,Bukit Region,Preschool,Mid-range,"Rp 45,000,000–Rp 110,000,000 /year",45000000,110000000,estimate,https://alamatelier.com/,The Anak Atelier Bali
the-garden-bali,The Garden Bali,Canggu / Sanur,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://www.thegardenbali.com/,The Garden Early Learning Centre Bali
the-open-flow-learning-centre,The Open Flow - Learning Centre,Ubud,Learning centre,Premium,"Rp 60,000,000–Rp 160,000,000 /year",60000000,160000000,estimate,https://theopenflow.org/,The Open Flow Bali Lukluk Mengwi
the-summit-academy,The Summit Academy,Denpasar,Academy,Premium,"Rp 80,000,000–Rp 170,000,000 /year",80000000,170000000,estimate,https://summitacademy.co.id/,"The Summit Academy Bali, Denpasar"
ubud-high-education-centre,Ubud High,Ubud,School,Budget,"Rp 40,000,000–Rp 80,000,000 /year",40000000,80000000,estimate,https://www.linkedin.com/company/ubud-high-education-centre/,Ubud High Education Centre Bali
ubud-little-sunshine,Ubud Little Sunshine,Ubud,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://ubudlittlesunshine.com/,Ubud Little Sunshine Bali
umah-rare-homeschool,Umah Rare Homeschool,Sanur,School,Budget,"Rp 48,000,000 /year",48000000,48000000,estimate,,Umah Rare Homeschool Sanur Bali
umalas-kids-club,Umalas Kids Club,Canggu,Preschool,Mid-range,"Rp 40,000,000–Rp 100,000,000 /year",40000000,100000000,estimate,https://umalaskidsclub.com/,Umalas Kids Club Kerobokan Bali
wisdom-academy,Wisdom Academy,Bukit Region,Academy,Premium,"Rp 80,000,000–Rp 170,000,000 /year",80000000,170000000,estimate,https://wisdomacademybali.com/,Wisdom Academy Bali
wood-school,Wood School,Ubud,School,Premium,"Rp 100,000,000–Rp 160,000,000 /year",100000000,160000000,estimate,https://woodschoolbali.com/,Wood School Bali Ubud
